Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,2.1,17,814,29.4,206,.309,.645,.479,16.9,13.1,13.6,.294,.633,.475,58.4
2022,Sinker,,0.2,1,471,17.0,132,.252,.388,.376,11.0,12.1,16.5,.255,.440,.387,41.4
2022,Slider,,0.0,0,469,17.0,109,.163,.272,.283,29.5,22.9,16.4,.241,.411,.345,43.3
2022,Changeup,,0.2,1,448,16.2,111,.188,.281,.286,28.0,16.2,13.1,.227,.372,.317,34.6
2022,Curveball,,0.6,2,325,11.8,50,.154,.308,.306,12.2,14.0,8.4,.237,.396,.366,43.8
2022,Cutter,,2.6,5,188,6.8,40,.333,.758,.496,15.6,7.5,8.6,.352,.718,.497,60.0
2022,Splitter,,8.8,4,50,1.8,10,.444,1.111,.645,6.3,0.0,0.0,.409,.950,.588,66.7
2021,4-Seamer,,3.3,30,903,34.7,216,.394,.725,.535,18.3,13.9,12.0,.336,.656,.495,65.2
2021,Slider,,0.9,4,447,17.2,111,.226,.398,.344,27.1,20.7,18.9,.282,.489,.389,48.6
2021,Changeup,,0.9,3,396,15.2,95,.247,.286,.328,25.0,17.9,16.7,.242,.344,.339,35.0
2021,Sinker,,3.5,13,372,14.3,98,.342,.620,.486,13.3,12.2,12.9,.324,.589,.446,61.8
2021,Curveball,,0.0,0,261,10.0,60,.250,.346,.318,17.1,11.7,10.6,.268,.423,.352,40.0
2021,Cutter,,2.7,5,170,6.5,40,.324,.559,.390,17.1,7.5,7.9,.344,.642,.451,39.4
2021,Splitter,,0.4,0,50,1.9,10,.333,.500,.495,36.4,10.0,6.3,.403,.696,.558,60.0
2021,N/A,,115.3,2,2,0.1,1,1.000,4.000,2.000,0.0,0.0,--,.674,2.000,1.079,100.0
2020,4-Seamer,,1.3,3,262,31.7,58,.256,.512,.436,26.7,17.2,13.0,.303,.700,.489,57.6
2020,Changeup,,2.9,5,154,18.6,38,.353,.618,.467,21.4,18.4,14.6,.289,.392,.340,51.9
2020,Slider,,3.4,5,138,16.7,26,.409,.727,.552,29.2,11.5,8.3,.357,.836,.528,57.9
2020,Sinker,,2.8,4,135,16.3,30,.346,.769,.495,10.6,13.3,15.4,.398,.811,.533,40.9
2020,Cutter,,6.3,4,63,7.6,17,.467,1.000,.624,15.4,11.8,12.5,.346,.791,.498,61.5
2020,Curveball,,9.5,6,59,7.1,13,.500,1.083,.665,11.1,7.7,9.1,.400,1.022,.598,36.4
2020,Splitter,,-3.0,0,16,1.9,2,.000,.000,.000,0.0,50.0,25.0,.069,.075,.063,0.0
2019,4-Seamer,,1.3,11,871,31.2,197,.273,.578,.421,19.4,19.3,14.0,.331,.708,.478,58.8
2019,Slider,,-0.2,-1,514,18.4,120,.186,.294,.290,34.3,30.0,19.9,.200,.356,.302,34.8
2019,Sinker,,1.4,7,478,17.1,115,.354,.707,.483,13.2,13.9,13.9,.311,.662,.440,50.0
2019,Changeup,,1.5,6,383,13.7,95,.316,.582,.427,32.5,20.0,17.8,.269,.455,.362,36.1
2019,Curveball,,2.4,7,315,11.3,66,.281,.596,.402,22.8,18.2,13.8,.272,.529,.373,52.2
2019,Cutter,,2.9,5,161,5.8,49,.325,.550,.434,25.4,14.3,14.0,.314,.693,.465,42.4
2019,Splitter,,4.8,3,61,2.2,13,.300,.600,.523,37.0,30.8,21.1,.259,.575,.425,50.0
2019,N/A,,-10.1,0,4,0.1,1,.000,.000,.000,0.0,0.0,0.0,.400,1.181,.632,100.0
2018,4-Seamer,,3.4,21,622,30.6,151,.355,.798,.525,14.2,13.9,12.1,.343,.771,.509,60.2
2018,Slider,,-1.5,-6,366,18.0,71,.221,.294,.235,30.4,38.0,21.6,.196,.282,.230,51.2
2018,Sinker,,2.8,10,354,17.4,108,.349,.578,.470,16.7,13.0,14.9,.272,.481,.408,37.1
2018,Curveball,,-0.1,0,259,12.8,41,.263,.289,.279,25.8,36.6,19.2,.168,.195,.202,30.4
2018,Changeup,,-0.3,-1,258,12.7,69,.222,.317,.275,36.4,23.2,23.2,.212,.365,.288,21.3
2018,Cutter,,-0.3,0,91,4.5,21,.278,.500,.383,25.6,9.5,8.3,.428,.657,.500,37.5
2018,Splitter,,-0.4,0,80,3.9,22,.211,.368,.309,17.1,18.2,11.1,.111,.128,.191,6.7
