Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"1,790",50.9,69.3,70.8,21.0,54.1,43.2,41.2,45.6,32.6,7.8,88.5
2016,"2,932",47.6,71.5,76.7,25.4,59.8,43.4,40.3,47.3,27.9,6.3,87.1
2017,"2,550",49.3,68.0,82.9,22.2,57.9,41.6,30.3,44.7,23.3,7.2,86.7
2018,"2,501",49.9,67.0,80.8,21.8,58.6,42.6,30.0,44.3,24.6,7.1,88.8
2019,"2,299",47.7,69.1,79.9,20.8,52.9,42.5,34.4,44.0,26.5,7.2,87.6
2020,821,47.8,74.0,80.3,23.6,57.4,40.5,36.9,47.7,25.3,7.7,88.9
2021,"1,328",47.6,69.8,81.0,24.0,52.1,41.3,35.7,45.8,27.0,7.8,86.4
2022,"2,175",48.9,77.3,79.0,25.7,50.9,42.0,39.0,50.9,28.2,7.1,86.4
Player,"16,396",48.8,70.4,78.9,23.1,55.8,42.3,35.8,46.2,26.9,7.1,87.5
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
