Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Round Rock Express,Triple-A,First Inning,67,59,10,11,0,1,0,0,8,9,4,2,0,.186,.284,.220,.504
Round Rock Express,Triple-A,Second Inning,18,15,2,8,1,0,0,1,3,1,1,0,0,.533,.611,.600,1.211
Round Rock Express,Triple-A,Third Inning,45,39,4,14,1,0,0,7,5,6,1,0,0,.359,.432,.385,.817
Round Rock Express,Triple-A,Fourth Inning,23,21,3,10,0,1,0,2,2,4,0,1,0,.476,.522,.571,1.093
Round Rock Express,Triple-A,Fifth Inning,38,34,5,11,1,1,1,6,4,3,3,0,0,.324,.395,.500,.895
Round Rock Express,Triple-A,Sixth Inning,33,29,2,4,1,0,0,4,4,8,1,0,0,.138,.242,.172,.414
Round Rock Express,Triple-A,Seventh Inning,27,25,5,12,3,0,0,4,1,7,2,0,0,.480,.481,.600,1.081
Round Rock Express,Triple-A,Eighth Inning,33,29,9,11,1,0,0,3,3,6,5,1,1,.379,.455,.414,.869
Round Rock Express,Triple-A,Ninth Inning,25,22,4,7,3,0,0,5,2,5,2,0,0,.318,.360,.455,.815
Round Rock Express,Triple-A,Extra Innings,6,5,2,1,0,0,0,2,0,1,0,0,0,.200,.167,.200,.367
