Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-1.4,-15,"1,054",44.7,256,.231,.299,.293,12.1,14.8,12.8,.250,.327,.302,32.1
2022,Slider,,-1.9,-11,544,23.1,113,.135,.163,.185,20.2,22.1,12.6,.177,.215,.214,17.7
2022,Sinker,,-1.3,-5,352,14.9,119,.240,.298,.296,4.6,5.9,10.3,.257,.333,.305,29.3
2022,Curveball,,-1.7,-3,173,7.3,34,.152,.212,.174,13.6,23.5,13.6,.197,.251,.209,28.0
2022,Cutter,,-2.2,-2,107,4.5,29,.250,.250,.241,12.0,13.8,13.8,.250,.324,.264,25.0
2022,Changeup,,3.0,3,102,4.3,35,.429,.486,.406,12.5,8.6,8.1,.313,.359,.297,9.4
2022,Splitter,,-4.4,-1,24,1.0,8,.125,.125,.113,18.8,25.0,13.3,.098,.123,.100,0.0
2021,4-Seamer,,0.1,1,"1,002",37.8,233,.285,.409,.375,13.4,16.7,13.4,.280,.391,.356,33.3
2021,Sinker,,-1.1,-6,526,19.8,127,.281,.377,.340,6.5,10.2,11.1,.264,.327,.300,32.4
2021,Slider,,-0.6,-3,513,19.3,122,.263,.272,.286,21.8,32.8,20.6,.215,.247,.231,13.3
2021,Curveball,,1.6,3,202,7.6,40,.308,.308,.310,12.1,15.0,9.2,.276,.328,.276,21.2
2021,Cutter,,-1.3,-3,200,7.5,57,.255,.314,.297,15.7,21.1,20.3,.205,.267,.258,17.9
2021,Changeup,,-0.6,-1,187,7.0,51,.196,.239,.227,16.0,19.6,13.7,.262,.353,.295,13.5
2021,Splitter,,-3.2,0,15,0.6,5,.000,.000,.140,12.5,20.0,10.0,.256,.306,.329,33.3
2021,Knuckleball,,-1.5,0,4,0.2,1,.000,.000,.000,0.0,0.0,--,.626,1.756,.971,100.0
2021,N/A,,13.7,0,3,0.1,1,1.000,2.000,1.250,0.0,0.0,0.0,.597,.903,.649,100.0
2020,4-Seamer,,-2.0,-3,145,41.2,32,.167,.200,.195,17.2,21.9,15.6,.198,.334,.254,21.7
2020,Slider,,-0.2,0,68,19.3,11,.200,.200,.309,15.8,45.5,16.7,.220,.254,.253,0.0
2020,Sinker,,7.6,4,57,16.2,21,.500,.650,.555,3.7,0.0,0.0,.382,.494,.395,35.0
2020,Curveball,,-2.9,-1,30,8.5,5,.000,.000,.000,10.0,40.0,13.3,.236,.420,.277,33.3
2020,Changeup,,-9.4,-3,27,7.7,10,.000,.000,.000,47.1,50.0,55.6,.095,.122,.095,0.0
2020,Cutter,,-8.9,-2,25,7.1,7,.000,.000,.000,35.3,42.9,27.3,.051,.090,.059,0.0
2019,4-Seamer,,-2.0,-4,214,37.7,46,.162,.270,.291,13.2,21.7,16.7,.242,.362,.343,29.6
2019,Sinker,,-0.5,-1,123,21.7,29,.250,.292,.319,10.4,10.3,8.1,.243,.309,.318,9.5
2019,Slider,,2.3,3,121,21.3,25,.364,.455,.400,14.3,28.0,12.5,.238,.314,.294,6.7
2019,Cutter,,0.2,0,43,7.6,16,.333,.400,.323,10.0,18.8,20.0,.245,.279,.225,23.1
2019,Curveball,,7.2,3,35,6.2,3,1.000,1.000,.900,0.0,0.0,0.0,.386,.441,.364,0.0
2019,Changeup,,-0.3,0,31,5.5,9,.143,.143,.256,20.0,11.1,11.1,.268,.312,.350,0.0
2018,4-Seamer,,0.3,0,25,62.5,7,.167,.667,.386,0.0,0.0,0.0,.349,.589,.443,33.3
2018,Slider,,1.7,0,8,20.0,1,.000,.000,.000,0.0,0.0,0.0,.054,.081,.050,0.0
2018,Curveball,,3.0,0,3,7.5,,--,--,--,--,--,--,--,--,--,--
2018,Cutter,,4.9,0,2,5.0,1,1.000,1.000,.900,0.0,0.0,--,.269,.288,.242,0.0
2018,Sinker,,32.2,0,1,2.5,1,1.000,1.000,.900,0.0,0.0,--,.580,.716,.583,0.0
2018,Changeup,,6.4,0,1,2.5,,--,--,--,--,--,0.0,--,--,--,--
