Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,41.9,24.3,29.2,4.6,37.3,37.3,25.4,2.5,31.7,31.0,21.8,4.2,5.3,3.8
2016,41.6,23.2,27.6,7.5,37.0,36.3,26.4,3.9,29.3,29.5,25.4,3.9,6.3,4.1
2017,39.5,24.2,29.1,7.1,39.5,33.7,26.8,4.8,28.6,25.3,27.3,7.1,6.9,4.3
2018,39.4,30.7,26.6,3.3,39.1,38.4,22.3,1.8,28.6,24.3,26.9,8.4,9.7,6.3
2019,36.0,31.6,24.0,8.4,50.3,29.1,20.7,3.1,26.0,27.0,21.9,6.1,13.8,8.2
2020,36.4,37.1,18.9,7.6,51.5,31.1,17.4,4.5,27.3,32.6,15.9,5.3,14.4,8.2
2021,36.3,35.7,20.4,7.7,46.3,32.4,21.2,4.4,28.6,31.6,16.5,3.8,15.0,8.9
2022,34.1,39.2,20.7,6.0,44.3,31.3,24.4,3.7,24.4,29.0,20.5,7.4,14.8,8.3
Player,38.3,30.1,25.1,6.5,42.5,33.9,23.6,3.5,28.1,28.3,22.8,5.9,10.5,6.5
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
