Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Atlanta Braves,MLB,First Inning,120,110,16,30,4,0,5,8,10,30,3,2,0,.273,.333,.445,.778
Atlanta Braves,MLB,Second Inning,39,34,7,16,5,0,1,13,4,8,0,0,1,.471,.538,.706,1.244
Atlanta Braves,MLB,Third Inning,101,91,17,23,5,1,4,11,8,30,1,2,0,.253,.307,.462,.769
Atlanta Braves,MLB,Fourth Inning,62,59,13,19,4,0,3,12,3,14,4,0,0,.322,.355,.542,.897
Atlanta Braves,MLB,Fifth Inning,92,86,8,29,4,0,1,8,6,18,8,2,0,.337,.380,.419,.799
Atlanta Braves,MLB,Sixth Inning,65,60,13,21,4,0,6,20,3,15,1,0,1,.350,.385,.717,1.102
Atlanta Braves,MLB,Seventh Inning,85,76,11,17,2,0,2,10,9,31,0,1,0,.224,.306,.329,.635
Atlanta Braves,MLB,Eighth Inning,72,68,6,11,1,0,2,9,4,18,0,0,0,.162,.208,.265,.473
Atlanta Braves,MLB,Ninth Inning,49,46,4,10,3,0,1,5,2,15,1,0,0,.217,.245,.348,.593
Atlanta Braves,MLB,Extra Innings,11,10,4,1,0,0,0,0,0,3,0,0,1,.100,.182,.100,.282
