Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,Hillsboro Hops,NWL,A(Short),SS,22,22,198.0,101,36,62,3,10,,.970
2016,2 Teams,,Minors,SS,104,104,943.0,506,164,331,11,74,,.978
2016,2 Teams,,Minors,SS,104,104,943.0,506,164,331,11,74,,.978
2016,2 Teams,,Minors,SS,104,104,943.0,506,164,331,11,74,,.978
2016,Carolina Mudcats,CAR,A(Adv),SS,21,21,184.2,99,36,60,3,18,,.970
2016,Mississippi Braves,SOU,AA,SS,83,83,758.1,407,128,271,8,56,,.980
2016,Mississippi Braves,SOU,AA,DH,1,1,0.0,0,0,0,0,0,,.000
2017,Gwinnett Braves,INT,AAA,2B,2,2,18.0,9,7,2,0,1,,1.000
2017,Gwinnett Braves,INT,AAA,SS,9,9,72.0,43,20,23,0,11,,1.000
2018,Rome Braves,SAL,A(Full),SS,1,1,9.0,6,2,4,0,1,,1.000
2019,Rome Braves,SAL,A(Full),SS,2,2,16.0,9,5,4,0,1,,1.000
2019,Rome Braves,SAL,A(Full),DH,1,1,0.0,0,0,0,0,0,,.000
,Gwinnett Stripers,INT,AAA,2B,2,2,18.0,9,7,2,0,1,,1.000
,Gwinnett Stripers,INT,AAA,SS,9,9,72.0,43,20,23,0,11,,1.000
,Mississippi Braves,SOU,AA,SS,83,83,758.1,407,128,271,8,56,,.980
,Mississippi Braves,SOU,AA,DH,1,1,0.0,0,0,0,0,0,,.000
,Carolina Mudcats,CAR,A+,SS,21,21,184.2,99,36,60,3,18,,.970
,Rome Braves,SAL,A,SS,3,3,25.0,15,7,8,0,2,,1.000
,Rome Braves,SAL,A,DH,1,1,0.0,0,0,0,0,0,,.000
,Hillsboro Hops,NWL,A(Short),SS,22,22,198.0,101,36,62,3,10,,.970
,1 Teams,,Minors,2B,2,2,18.0,9,7,2,0,1,,1.000
,5 Teams,,Minors,SS,138,138,1238.0,665,227,424,14,97,,.979
,2 Teams,,Minors,DH,2,2,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,2B,2,2,18.0,9,7,2,0,1,,1.000
,5 Teams,,Minors,SS,138,138,1238.0,665,227,424,14,97,,.979
,2 Teams,,Minors,DH,2,2,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,2B,2,2,18.0,9,7,2,0,1,,1.000
,5 Teams,,Minors,SS,138,138,1238.0,665,227,424,14,97,,.979
Career Minors,2 Teams,,,DH,2,2,0.0,0,0,0,0,0,,.000
