Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,1.1,9,818,29.7,216,.286,.557,.381,26.1,23.1,18.9,.276,.591,.401,62.3
2022,Slider,,0.9,6,730,26.5,162,.219,.325,.278,35.4,30.9,19.8,.201,.333,.262,34.7
2022,Sinker,,0.9,4,478,17.4,149,.362,.522,.416,22.8,18.8,23.5,.318,.534,.390,46.4
2022,Changeup,,-0.2,0,252,9.2,51,.229,.313,.264,45.2,35.3,21.2,.222,.318,.261,40.0
2022,Curveball,,0.1,0,243,8.8,54,.245,.286,.294,30.3,20.4,15.9,.246,.322,.289,26.3
2022,Cutter,,0.0,0,183,6.7,51,.300,.560,.372,36.4,35.3,29.0,.252,.474,.318,43.8
2022,Splitter,,-5.4,-2,35,1.3,8,.000,.000,.000,40.0,87.5,41.2,.056,.065,.053,0.0
2022,N/A,,22.4,2,8,0.3,2,1.000,1.000,.800,33.3,0.0,0.0,.537,.586,.591,0.0
2021,4-Seamer,,0.7,5,765,29.7,211,.245,.511,.368,27.9,24.6,22.4,.247,.512,.357,52.6
2021,Slider,,0.0,0,626,24.3,158,.199,.355,.274,41.4,29.7,24.0,.216,.348,.280,27.8
2021,Sinker,,-0.2,-1,429,16.6,113,.275,.461,.356,22.2,20.4,22.8,.280,.528,.368,51.9
2021,Curveball,,1.1,3,276,10.7,53,.275,.490,.357,28.3,22.6,13.5,.275,.524,.350,35.9
2021,Changeup,,0.5,1,261,10.1,74,.275,.391,.322,31.1,29.7,23.4,.270,.388,.320,32.7
2021,Cutter,,-0.1,0,166,6.4,31,.241,.414,.329,32.2,32.3,21.7,.192,.281,.256,36.8
2021,Splitter,,5.2,1,28,1.1,3,.667,1.667,.967,21.4,33.3,11.1,.448,1.320,.719,100.0
2021,N/A,,2.1,1,27,1.0,6,.400,.400,.417,7.1,0.0,0.0,.439,.576,.486,60.0
2020,4-Seamer,,1.6,5,290,27.4,74,.333,.651,.457,28.0,18.9,18.4,.313,.666,.451,46.9
2020,Sinker,,3.6,8,231,21.8,62,.327,.509,.456,23.1,24.2,27.8,.328,.544,.408,50.0
2020,Slider,,0.6,1,221,20.8,54,.220,.380,.275,42.7,35.2,22.6,.186,.308,.248,31.3
2020,Curveball,,-0.1,0,126,11.9,26,.160,.280,.216,40.6,50.0,30.2,.178,.284,.217,16.7
2020,Changeup,,-0.9,-1,95,9.0,28,.250,.292,.305,37.7,28.6,24.2,.226,.337,.310,43.8
2020,Cutter,,0.4,0,77,7.3,14,.357,.571,.400,23.5,14.3,12.5,.345,.447,.343,41.7
2020,Splitter,,0.0,0,17,1.6,5,.000,.000,.180,25.0,0.0,0.0,.167,.177,.156,0.0
2020,N/A,,-8.4,0,3,0.3,1,.000,.000,.000,0.0,0.0,--,.633,2.402,1.216,100.0
2019,4-Seamer,,0.7,5,710,31.9,179,.316,.570,.402,21.2,21.8,18.4,.319,.608,.414,52.5
2019,Sinker,,0.9,4,423,19.0,103,.307,.489,.394,21.9,10.7,12.9,.312,.504,.394,41.6
2019,Slider,,-1.3,-5,411,18.5,102,.228,.380,.303,36.6,26.5,20.8,.257,.488,.334,44.1
2019,Curveball,,-2.3,-7,295,13.3,44,.143,.190,.170,30.5,25.0,11.8,.179,.252,.209,22.6
2019,Changeup,,-2.1,-4,177,8.0,58,.176,.235,.259,36.6,36.2,25.6,.197,.292,.268,20.0
2019,Cutter,,-0.6,-1,163,7.3,48,.140,.302,.257,25.7,25.0,24.5,.214,.354,.288,25.8
2019,Splitter,,-0.8,0,37,1.7,8,.250,.375,.269,43.5,37.5,23.1,.267,.493,.309,80.0
2019,N/A,,-5.2,0,3,0.1,,--,--,--,50.0,--,0.0,--,--,--,--
2018,4-Seamer,,1.3,9,680,31.7,168,.305,.526,.390,18.9,21.4,15.4,.270,.461,.335,41.0
2018,Slider,,-2.7,-15,538,25.1,126,.134,.227,.185,36.2,27.0,17.4,.162,.246,.205,17.6
2018,Sinker,,0.5,2,394,18.4,106,.298,.468,.365,15.7,13.2,13.7,.287,.447,.340,48.2
2018,Curveball,,-1.2,-3,249,11.6,53,.200,.320,.250,32.0,32.1,20.0,.189,.280,.230,30.3
2018,Changeup,,1.3,2,168,7.8,41,.205,.385,.293,31.8,31.7,16.9,.236,.324,.265,23.1
2018,Cutter,,1.3,1,87,4.1,18,.313,.375,.447,26.7,22.2,12.5,.225,.280,.273,16.7
2018,Splitter,,-6.4,-1,16,0.7,3,.000,.000,.000,27.3,66.7,28.6,.029,.057,.036,0.0
2018,Knuckleball,,-3.9,0,6,0.3,1,.000,.000,.000,0.0,0.0,0.0,.007,.010,.009,0.0
2017,4-Seamer,,-0.2,-1,625,28.6,160,.246,.362,.326,20.3,15.6,15.2,.258,.406,.340,40.4
2017,Sinker,,-1.7,-9,532,24.3,162,.234,.297,.289,10.8,14.2,16.5,.279,.361,.317,35.8
2017,Slider,,-1.4,-7,500,22.9,94,.169,.236,.206,39.3,33.0,19.3,.169,.239,.206,13.6
2017,Curveball,,-0.9,-2,230,10.5,46,.209,.326,.246,27.0,41.3,23.8,.214,.287,.248,44.0
2017,Changeup,,0.2,0,183,8.4,49,.250,.364,.329,35.9,32.7,23.5,.246,.350,.302,17.9
2017,Cutter,,4.7,4,88,4.0,18,.412,.588,.500,25.0,27.8,29.4,.265,.353,.290,33.3
2017,Splitter,,-3.5,-1,18,0.8,7,.143,.143,.129,30.0,14.3,12.5,.218,.253,.203,0.0
