Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Buffalo Bisons,Triple-A,First Inning,9,6,0,0,0,0,0,0,1,2,0,0,2,.000,.333,.000,.333
Nashville Sounds,Triple-A,First Inning,2,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Buffalo Bisons,Triple-A,Second Inning,5,5,0,2,1,0,0,0,0,0,0,0,0,.400,.400,.600,1.000
Nashville Sounds,Triple-A,Third Inning,1,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Buffalo Bisons,Triple-A,Third Inning,9,9,2,2,0,0,1,3,0,2,0,0,0,.222,.222,.556,.778
Buffalo Bisons,Triple-A,Fourth Inning,4,2,0,0,0,0,0,0,2,1,0,0,0,.000,.500,.000,.500
Nashville Sounds,Triple-A,Fourth Inning,2,2,2,2,0,0,1,3,0,0,0,0,0,1.000,1.000,2.500,3.500
Nashville Sounds,Triple-A,Fifth Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Buffalo Bisons,Triple-A,Fifth Inning,8,8,1,4,1,0,0,1,0,4,0,0,0,.500,.500,.625,1.125
Nashville Sounds,Triple-A,Sixth Inning,1,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
Buffalo Bisons,Triple-A,Sixth Inning,8,7,4,5,1,0,3,5,1,1,0,0,0,.714,.750,2.143,2.893
Buffalo Bisons,Triple-A,Seventh Inning,8,6,1,1,1,0,0,2,2,0,0,0,0,.167,.375,.333,.708
Buffalo Bisons,Triple-A,Eighth Inning,3,3,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Ninth Inning,1,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
Buffalo Bisons,Triple-A,Extra Innings,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
