Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2019,,ALL,0,,0,0,-1,0,1,-1,28,79%,78%,1%
2019,,RF,0,,0,0,0,0,0,0,5,60%,60%,0%
2019,,CF,0,,0,0,-1,0,1,-1,23,83%,82%,1%
2020,,ALL,1,,0,0,0,0,0,1,24,88%,85%,2%
2020,,RF,0,,0,0,-1,0,-1,0,14,86%,89%,-3%
2020,,CF,1,,0,0,1,0,0,1,10,90%,80%,10%
2021,,ALL,-2,,0,0,0,-1,-1,-1,134,81%,83%,-2%
2021,,ALL,-1,,-1,0,0,0,0,-1,32,81%,83%,-2%
2021,,ALL,-1,,1,0,0,-2,-1,0,102,81%,83%,-1%
2021,,RF,0,,0,0,0,0,1,-1,17,76%,76%,1%
2021,,RF,0,,0,0,0,0,1,-1,17,76%,76%,1%
2021,,CF,-3,,0,-2,1,-2,-3,0,104,81%,83%,-3%
2021,,CF,-1,,0,-1,0,0,-1,0,7,71%,91%,-20%
2021,,CF,-1,,1,-1,1,-2,-1,0,97,81%,83%,-1%
2021,,LF,0,,0,1,-1,0,0,-1,11,91%,94%,-3%
2021,,LF,1,,0,1,0,0,0,0,7,100%,92%,8%
2021,,LF,-1,,0,0,-1,0,0,-1,4,75%,98%,-23%
2021,,2B,1,,0,1,0,0,0,1,2,100%,60%,40%
2021,,2B,0,,0,0,0,0,0,0,1,100%,99%,1%
2021,,2B,1,,0,1,0,0,0,1,1,100%,20%,80%
2022,,ALL,-3,,2,-3,0,-2,-1,-1,333,89%,90%,-1%
2022,,RF,-2,,0,-1,0,-1,-2,-1,107,86%,88%,-2%
2022,,CF,1,,1,1,1,-1,2,0,118,91%,89%,1%
2022,,LF,-2,,1,-2,-1,0,-1,-1,108,91%,92%,-2%
Career,,ALL,-4,,2,-3,0,-4,-2,-2,519,87%,87%,-1%
