Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,146",51.5,313,288,84,51,14,0,19,65,225,.292,.262,.538,.522,.378,.358,93.6,17,23.0,19.3
2022,Breaking,833,37.5,185,170,39,23,10,1,5,43,129,.229,.232,.388,.362,.291,.285,86.9,16,32.0,17.1
2022,Offspeed,245,11.0,71,67,12,8,4,0,0,21,46,.179,.192,.239,.299,.210,.238,83.0,17,33.3,21.6
2021,Fastballs,"1,173",56.5,296,256,59,42,10,0,7,62,198,.230,.248,.352,.434,.299,.337,91.4,17,24.4,19.6
2021,Breaking,645,31.1,149,138,43,34,8,0,1,27,112,.312,.289,.391,.401,.327,.323,81.0,11,28.1,13.1
2021,Offspeed,259,12.5,69,64,17,12,4,0,1,15,50,.266,.280,.375,.431,.298,.327,82.3,9,30.7,15.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
