Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.7,5,693,25.5,162,.299,.563,.402,18.6,17.9,14.9,.288,.499,.383,55.2
2022,Slider,,-0.3,-2,687,25.3,176,.208,.315,.232,36.9,25.6,18.6,.221,.337,.262,29.4
2022,Sinker,,1.1,6,498,18.3,144,.378,.528,.431,14.8,11.1,13.7,.320,.490,.389,43.8
2022,Curveball,,2.7,8,311,11.4,72,.343,.486,.382,32.9,20.8,13.0,.296,.410,.320,29.1
2022,Changeup,,2.2,6,271,10.0,81,.338,.514,.396,32.9,16.0,13.5,.311,.514,.392,48.4
2022,Cutter,,0.1,0,201,7.4,56,.264,.377,.301,20.8,17.9,19.6,.244,.334,.277,37.2
2022,Splitter,,-0.4,0,50,1.8,13,.231,.385,.262,36.4,23.1,15.0,.224,.333,.236,50.0
2022,N/A,,80.4,2,3,0.1,2,1.000,3.000,1.625,0.0,0.0,--,.448,1.166,.667,100.0
2021,4-Seamer,,0.8,6,821,33.0,196,.358,.653,.453,16.3,18.9,16.1,.306,.576,.410,56.8
2021,Slider,,1.2,7,570,22.9,155,.270,.376,.314,29.4,16.1,12.5,.278,.389,.323,32.5
2021,Sinker,,2.9,11,376,15.1,101,.352,.648,.465,10.8,9.9,10.4,.349,.622,.442,54.3
2021,Curveball,,-0.5,-1,278,11.2,68,.284,.448,.320,38.0,26.5,18.9,.282,.363,.287,42.9
2021,Changeup,,2.9,7,252,10.1,71,.380,.479,.377,27.6,15.5,12.6,.340,.458,.348,40.0
2021,Cutter,,2.9,4,153,6.2,39,.385,.718,.465,27.4,17.9,16.7,.284,.451,.315,43.8
2021,Splitter,,-3.1,-1,37,1.5,14,.154,.154,.179,33.3,14.3,11.1,.215,.270,.247,54.5
2020,4-Seamer,,1.0,3,339,32.8,82,.292,.542,.405,13.8,15.9,14.3,.301,.522,.390,52.5
2020,Sinker,,3.0,6,186,18.0,47,.395,.907,.567,14.5,0.0,0.0,.373,.698,.476,46.5
2020,Slider,,1.9,3,172,16.7,41,.378,.595,.446,28.9,24.4,18.9,.264,.452,.342,29.6
2020,Changeup,,1.6,2,126,12.2,42,.263,.421,.323,23.0,11.9,8.5,.249,.378,.319,32.4
2020,Cutter,,2.1,2,107,10.4,24,.476,.667,.492,8.7,0.0,0.0,.375,.657,.456,31.8
2020,Curveball,,1.3,1,88,8.5,19,.278,.333,.308,42.1,36.8,23.3,.266,.347,.289,36.4
2020,Splitter,,4.0,1,13,1.3,3,.333,.333,.300,33.3,33.3,25.0,.348,.383,.330,0.0
2020,N/A,,-36.8,-1,2,0.2,1,.000,.000,.000,0.0,0.0,--,.020,.033,.022,0.0
2019,4-Seamer,,0.0,0,725,32.5,177,.331,.588,.420,15.6,19.8,16.1,.305,.550,.388,52.0
2019,Slider,,0.6,3,479,21.4,123,.219,.386,.297,34.9,29.3,21.2,.228,.385,.295,32.9
2019,Sinker,,2.8,12,444,19.9,120,.360,.631,.457,14.4,10.0,9.6,.324,.523,.384,53.5
2019,Curveball,,-1.6,-4,260,11.6,63,.246,.344,.260,36.0,30.2,24.4,.248,.315,.246,20.9
2019,Changeup,,0.0,0,172,7.7,49,.286,.405,.357,32.6,14.3,10.3,.259,.352,.329,31.4
2019,Cutter,,0.0,0,124,5.6,24,.273,.364,.350,15.6,8.3,5.1,.269,.424,.324,25.0
2019,Splitter,,3.2,1,23,1.0,9,.333,.333,.300,28.6,22.2,18.2,.237,.293,.229,28.6
2019,N/A,,12.8,1,5,0.2,1,1.000,2.000,1.250,0.0,0.0,0.0,.647,1.206,.753,100.0
2018,4-Seamer,,1.9,18,952,32.5,238,.317,.576,.427,13.8,15.1,13.8,.288,.492,.384,45.0
2018,Slider,,-0.1,-1,599,20.5,130,.244,.341,.307,30.0,26.2,16.4,.257,.352,.298,31.5
2018,Sinker,,-0.8,-5,580,19.8,163,.238,.301,.308,12.3,11.7,13.5,.277,.384,.338,37.6
2018,Curveball,,2.5,7,282,9.6,72,.338,.485,.388,29.5,22.2,17.6,.280,.397,.315,36.5
2018,Changeup,,0.3,1,274,9.4,77,.274,.411,.321,23.2,15.6,14.3,.296,.456,.344,39.3
2018,Cutter,,-2.4,-5,200,6.8,45,.146,.171,.190,23.3,26.7,19.0,.201,.320,.266,34.5
2018,Splitter,,-2.6,-1,37,1.3,12,.182,.273,.215,26.1,25.0,16.7,.203,.262,.200,22.2
2017,4-Seamer,,0.3,2,631,37.2,170,.287,.520,.401,13.3,14.1,14.4,.289,.512,.378,49.6
2017,Sinker,,3.5,11,303,17.9,90,.361,.590,.435,10.3,14.4,20.6,.314,.502,.374,42.9
2017,Slider,,0.0,0,262,15.5,56,.204,.389,.330,41.9,30.4,18.9,.249,.385,.286,35.1
2017,Changeup,,-3.0,-6,185,10.9,49,.213,.234,.243,41.1,20.4,20.0,.207,.228,.214,18.9
2017,Curveball,,0.9,2,168,9.9,40,.324,.378,.340,24.3,20.0,16.7,.301,.368,.321,34.5
2017,Cutter,,-2.1,-2,83,4.9,25,.292,.333,.294,29.7,24.0,28.6,.258,.355,.281,27.8
2017,Knuckleball,,-3.1,-1,30,1.8,9,.222,.222,.200,11.1,11.1,7.1,.109,.133,.105,0.0
2017,Splitter,,-1.7,0,24,1.4,6,.333,.500,.358,38.5,16.7,14.3,.148,.171,.138,20.0
2017,N/A,,-5.7,0,3,0.2,1,.000,.000,.000,0.0,0.0,--,.400,1.249,.649,100.0
