Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Minnesota Twins,MLB,First Inning,48,43,4,11,1,0,1,9,4,9,0,0,0,.256,.313,.349,.662
Minnesota Twins,MLB,Second Inning,87,79,9,19,3,1,0,3,7,15,0,0,0,.241,.299,.304,.603
Minnesota Twins,MLB,Third Inning,39,36,3,8,4,0,1,5,2,7,0,0,0,.222,.256,.417,.673
Minnesota Twins,MLB,Fourth Inning,85,79,15,30,5,2,3,10,5,9,0,0,0,.380,.412,.608,1.020
Minnesota Twins,MLB,Fifth Inning,53,50,6,15,3,0,1,10,2,12,0,0,1,.300,.340,.420,.760
Minnesota Twins,MLB,Sixth Inning,62,58,8,15,4,0,4,4,4,12,1,0,0,.259,.306,.534,.840
Minnesota Twins,MLB,Seventh Inning,62,57,5,14,4,0,1,7,3,11,0,0,0,.246,.274,.368,.642
Minnesota Twins,MLB,Eighth Inning,63,54,6,15,2,0,1,10,7,9,0,0,1,.278,.365,.370,.735
Minnesota Twins,MLB,Ninth Inning,41,37,4,13,1,0,0,3,4,9,0,0,0,.351,.415,.378,.793
Minnesota Twins,MLB,Extra Innings,11,8,1,3,0,0,1,3,3,3,0,0,0,.375,.545,.750,1.295
