Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,STL,NL,1B,31,18,186.0,169,154,15,0,15,,1.000
2017,STL,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2018,STL,NL,1B,3,2,17.0,19,15,4,0,1,,1.000
2018,NYY,AL,1B,32,31,270.0,232,219,11,2,16,,.991
2018,NYY,AL,RF,1,0,1.0,0,0,0,0,0,,.000
2018,NYY,AL,DH,4,4,0.0,0,0,0,0,0,,.000
2018,2 Teams,,1B,35,33,287.0,251,234,15,2,17,,.992
2019,NYY,AL,1B,83,81,706.1,610,575,28,7,60,,.989
2019,NYY,AL,DH,34,34,0.0,0,0,0,0,0,,.000
2020,NYY,AL,1B,48,47,377.2,331,308,20,3,23,,.991
2020,NYY,AL,DH,8,8,0.0,0,0,0,0,0,,.000
2021,NYY,AL,1B,42,42,344.1,297,277,15,5,21,,.983
2021,NYY,AL,DH,13,13,0.0,0,0,0,0,0,,.000
2022,SD,NL,1B,11,11,93.0,96,84,9,3,8,,.969
2022,SD,NL,DH,69,68,0.0,0,0,0,0,0,,.000
2022,WSH,NL,1B,26,26,213.0,187,177,8,2,17,,.989
2022,WSH,NL,DH,27,27,0.0,0,0,0,0,0,,.000
2022,2 Teams,,1B,37,37,306.0,283,261,17,5,25,,.982
2022,2 Teams,,DH,96,95,0.0,0,0,0,0,0,,.000
6 Seasons,4 Teams,,1B,276,258,2207.1,1941,1809,110,22,161,,.989
,4 Teams,,DH,156,155,0.0,0,0,0,0,0,,.000
,NYY,AL,RF,1,0,1.0,0,0,0,0,0,,.000
