Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,130",50.3,288,250,62,33,18,0,11,85,166,.248,.253,.452,.495,.348,.365,92.6,17,32.2,27.5
2022,Breaking,805,35.8,203,181,39,27,3,0,9,64,122,.215,.201,.381,.393,.286,.289,86.5,21,43.3,23.9
2022,Offspeed,312,13.9,76,69,12,9,1,0,2,30,39,.174,.164,.275,.319,.240,.249,88.3,18,42.5,28.0
2021,Fastballs,443,47.0,126,112,30,17,5,1,7,31,81,.268,.273,.518,.539,.370,.380,91.6,18,31.6,23.3
2021,Breaking,351,37.3,71,63,16,10,2,0,4,28,35,.254,.253,.476,.535,.351,.371,89.4,16,52.5,23.5
2021,Offspeed,148,15.7,39,34,5,5,0,0,0,12,22,.147,.199,.147,.333,.202,.288,89.8,7,40.3,25.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
