Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Memphis Redbirds,Triple-A,Bases Empty,,,,2,,,4.2,22,5,,,0,3,6,1.71
Springfield Cardinals,Double-A,Bases Empty,,,,3,,,8.1,29,3,,,0,0,7,0.36
Palm Beach Cardinals,Class A Advanced,Bases Empty,,,,2,,,2.1,8,1,,,0,0,4,0.43
Memphis Redbirds,Triple-A,Bases Loaded,,,,1,,,0.1,1,0,,,0,0,1,0.00
Memphis Redbirds,Triple-A,Runner at 1st,,,,2,,,3.1,10,3,,,0,0,3,0.90
Springfield Cardinals,Double-A,Runner at 1st,,,,2,,,0.2,4,2,,,0,0,1,3.00
Palm Beach Cardinals,Class A Advanced,Runner at 1st,,,,1,,,0.2,1,0,,,0,0,1,0.00
Springfield Cardinals,Double-A,Runners at 1st & 2nd,,,,1,,,0.1,1,0,,,0,0,0,0.00
Memphis Redbirds,Triple-A,Runner at 2nd,,,,1,,,0.1,1,0,,,0,0,0,0.00
Springfield Cardinals,Double-A,Runner at 2nd,,,,1,,,0.1,1,0,,,0,0,1,0.00
Memphis Redbirds,Triple-A,Runners at 2nd & 3rd,,,,1,,,0.1,2,0,,,0,1,1,3.00
Springfield Cardinals,Double-A,Runners at 2nd & 3rd,,,,1,,,0.1,1,0,,,0,0,0,0.00
Memphis Redbirds,Triple-A,Scoring Position,,,,2,,,1.0,4,0,,,0,1,2,1.00
Springfield Cardinals,Double-A,Scoring Position,,,,3,,,1.0,3,0,,,0,0,1,0.00
