Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2005,STL,NL,P,2,0,2.0,0,0,0,0,0,,.000
2006,STL,NL,P,61,0,75.0,11,3,7,1,0,,.909
2007,STL,NL,P,32,32,202.0,43,13,28,2,4,,.953
2008,STL,NL,P,20,20,132.0,28,7,20,1,1,,.964
2009,STL,NL,P,34,34,233.0,56,27,29,0,0,,1.000
2010,STL,NL,P,33,33,230.1,58,21,36,1,5,,.983
2012,STL,NL,P,32,32,198.2,35,15,19,1,2,,.971
2013,STL,NL,P,34,34,241.2,61,25,36,0,6,,1.000
2014,STL,NL,P,32,32,227.0,51,20,30,1,2,,.980
2015,STL,NL,P,7,4,28.0,7,4,3,0,0,,1.000
2016,STL,NL,P,33,33,198.2,41,19,22,0,1,,1.000
2017,STL,NL,P,24,23,123.1,37,19,18,0,4,,1.000
2018,STL,NL,P,8,8,40.1,9,1,7,1,0,,.889
2019,STL,NL,P,31,31,171.2,32,15,17,0,1,,1.000
2020,STL,NL,P,10,10,65.2,10,2,8,0,0,,1.000
2021,STL,NL,P,32,32,206.1,37,19,16,2,2,,.946
2022,STL,NL,P,32,32,191.2,34,18,16,0,0,,1.000
17 Seasons,STL,NL,P,457,390,2567.1,550,228,312,10,28,,.982
