Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2018,,3B,-3,,-1,-2,0,0,-4,1,104,67%,70%,-3%
2019,,ALL,-5,,-4,-2,0,1,-4,-1,33,55%,70%,-15%
2019,,LF,1,,0,-1,0,1,1,-1,20,75%,72%,3%
2019,,3B,-6,,-4,-1,-1,0,-5,0,13,23%,67%,-43%
2020,,ALL,-2,,-1,-1,-1,1,-2,-1,59,86%,91%,-4%
2020,,RF,-1,,-1,0,-1,1,-1,0,39,85%,88%,-4%
2020,,LF,0,,0,-1,0,0,0,0,17,94%,96%,-2%
2020,,1B,-1,,0,0,-1,0,0,-1,3,67%,89%,-23%
2021,,ALL,-1,,0,1,-1,-1,0,-1,140,89%,89%,-1%
2021,,RF,1,,0,1,0,-1,0,1,100,88%,87%,1%
2021,,CF,-1,,0,0,-1,0,0,-1,20,90%,93%,-3%
2021,,LF,-1,,0,0,0,-1,0,-1,20,90%,95%,-5%
2022,,ALL,1,,1,0,-1,2,1,0,313,88%,88%,0%
2022,,RF,2,,1,0,0,2,2,0,296,89%,88%,1%
2022,,CF,-1,,0,0,-1,0,-1,0,14,86%,90%,-5%
2022,,LF,0,,0,0,0,0,0,0,3,67%,78%,-11%
Career,,ALL,-11,,-5,-4,-4,2,-9,-2,649,83%,85%,-2%
