Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Chicago Cubs,MLB,First Inning,55,48,5,6,2,0,2,7,4,18,1,1,3,.125,.236,.292,.528
Chicago Cubs,MLB,Second Inning,73,65,18,20,2,0,8,16,8,23,0,0,0,.308,.384,.708,1.092
Chicago Cubs,MLB,Third Inning,40,36,2,6,1,0,0,0,4,19,2,0,0,.167,.250,.194,.444
Chicago Cubs,MLB,Fourth Inning,76,66,9,13,2,0,4,11,10,23,0,0,0,.197,.303,.409,.712
Chicago Cubs,MLB,Fifth Inning,53,49,6,11,3,0,4,9,2,15,1,0,1,.224,.264,.531,.795
Chicago Cubs,MLB,Sixth Inning,62,52,3,5,2,0,1,4,6,23,0,2,2,.096,.213,.192,.405
Chicago Cubs,MLB,Seventh Inning,62,57,10,10,4,0,2,7,4,23,2,1,1,.175,.242,.351,.593
Chicago Cubs,MLB,Eighth Inning,56,50,6,16,4,0,3,7,6,17,1,0,0,.320,.393,.580,.973
Chicago Cubs,MLB,Ninth Inning,47,37,5,5,5,0,0,1,8,20,1,0,2,.135,.319,.270,.589
Chicago Cubs,MLB,Extra Innings,10,9,3,5,3,0,1,4,1,2,0,0,0,.556,.600,1.222,1.822
