Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,AZL Royals,AZL,ROK,SS,26,26,234.1,122,31,86,5,17,,.959
2019,AZL Royals,AZL,ROK,DH,11,11,0.0,0,0,0,0,0,,.000
2021,2 Teams,,Minors,DH,8,8,0.0,0,0,0,0,0,,.000
2021,2 Teams,,Minors,3B,18,17,139.1,29,12,17,0,2,,1.000
2021,2 Teams,,Minors,SS,102,97,842.1,322,101,213,8,45,,.975
2021,Northwest Arkansas Naturals,TEX,AA,3B,8,8,68.1,14,4,10,0,1,,1.000
2021,Northwest Arkansas Naturals,TEX,AA,SS,50,50,419.1,160,49,107,4,20,,.975
2021,Northwest Arkansas Naturals,TEX,AA,DH,3,3,0.0,0,0,0,0,0,,.000
2021,Omaha Storm Chasers,INT,AAA,3B,10,9,71.0,15,8,7,0,1,,1.000
2021,Omaha Storm Chasers,INT,AAA,SS,52,47,423.0,162,52,106,4,25,,.975
2021,Omaha Storm Chasers,INT,AAA,DH,5,5,0.0,0,0,0,0,0,,.000
,ACL Royals,AZL,ROK,SS,26,26,234.1,122,31,86,5,17,,.959
,ACL Royals,AZL,ROK,DH,11,11,0.0,0,0,0,0,0,,.000
,Omaha Storm Chasers,INT,AAA,3B,10,9,71.0,15,8,7,0,1,,1.000
,Omaha Storm Chasers,INT,AAA,SS,52,47,423.0,162,52,106,4,25,,.975
,Omaha Storm Chasers,INT,AAA,DH,5,5,0.0,0,0,0,0,0,,.000
,Northwest Arkansas Naturals,TEX,AA,3B,8,8,68.1,14,4,10,0,1,,1.000
,Northwest Arkansas Naturals,TEX,AA,SS,50,50,419.1,160,49,107,4,20,,.975
,Northwest Arkansas Naturals,TEX,AA,DH,3,3,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,3B,18,17,139.1,29,12,17,0,2,,1.000
,3 Teams,,Minors,SS,128,123,1076.2,444,132,299,13,62,,.971
Career Minors,3 Teams,,,DH,19,19,0.0,0,0,0,0,0,,.000
