Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
San Francisco Giants,MLB,First Inning,82,69,12,21,10,0,2,5,12,26,0,0,0,.304,.402,.536,.938
San Francisco Giants,MLB,Second Inning,52,42,8,7,1,0,3,8,8,12,0,0,1,.167,.308,.405,.713
San Francisco Giants,MLB,Third Inning,71,64,8,13,5,0,1,9,7,14,1,0,0,.203,.282,.328,.610
San Francisco Giants,MLB,Fourth Inning,49,44,8,8,2,1,3,6,3,11,1,0,1,.182,.245,.477,.722
San Francisco Giants,MLB,Fifth Inning,66,58,3,17,4,0,0,7,6,12,1,1,0,.293,.354,.362,.716
San Francisco Giants,MLB,Sixth Inning,53,44,8,6,2,0,3,6,7,21,0,0,1,.136,.264,.386,.650
San Francisco Giants,MLB,Seventh Inning,71,63,5,10,2,1,0,5,6,18,0,0,1,.159,.239,.222,.461
San Francisco Giants,MLB,Eighth Inning,49,45,7,10,2,0,3,5,4,13,1,0,0,.222,.286,.467,.753
San Francisco Giants,MLB,Ninth Inning,61,53,11,11,3,0,2,6,7,13,0,0,1,.208,.311,.377,.688
San Francisco Giants,MLB,Extra Innings,4,3,3,1,0,0,0,0,1,1,1,0,0,.333,.500,.333,.833
