Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Sacramento River Cats,Triple-A,First Inning,26,22,5,10,2,0,1,2,3,5,0,2,0,.455,.500,.682,1.182
Sacramento River Cats,Triple-A,Second Inning,13,10,2,3,1,0,1,1,3,3,0,0,0,.300,.462,.700,1.162
Sacramento River Cats,Triple-A,Third Inning,24,18,7,5,1,1,2,6,6,2,1,0,0,.278,.458,.778,1.236
Sacramento River Cats,Triple-A,Fourth Inning,11,10,3,2,0,0,1,3,1,1,0,0,0,.200,.273,.500,.773
Sacramento River Cats,Triple-A,Fifth Inning,23,20,8,10,6,0,2,3,2,4,1,0,1,.500,.565,1.100,1.665
Sacramento River Cats,Triple-A,Sixth Inning,10,10,2,2,0,0,1,1,0,3,0,0,0,.200,.200,.500,.700
Sacramento River Cats,Triple-A,Seventh Inning,25,20,8,8,0,0,4,6,4,6,0,0,0,.400,.500,1.000,1.500
Sacramento River Cats,Triple-A,Eighth Inning,13,11,0,1,0,0,0,0,1,4,0,0,1,.091,.231,.091,.322
Sacramento River Cats,Triple-A,Ninth Inning,17,15,2,2,1,0,0,2,2,8,0,0,0,.133,.235,.200,.435
Sacramento River Cats,Triple-A,Extra Innings,2,0,2,0,0,0,0,1,1,0,0,0,0,.000,.500,.000,.500
