Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2010,2 Teams,,Minors,LF,11,11,97.2,19,18,1,0,1,,1.000
2010,2 Teams,,Minors,LF,11,11,97.2,19,18,1,0,1,,1.000
2010,GCL Marlins,GCL,ROK,LF,6,6,53.0,10,9,1,0,1,,1.000
2010,Greensboro Grasshoppers,SAL,A(Full),LF,5,5,44.2,9,9,0,0,0,,1.000
2010,Greensboro Grasshoppers,SAL,A(Full),DH,1,1,0.0,0,0,0,0,0,,.000
2011,Greensboro Grasshoppers,SAL,A(Full),LF,86,85,746.0,151,142,4,5,1,,.967
2011,Greensboro Grasshoppers,SAL,A(Full),CF,28,27,227.0,66,65,0,1,0,,.985
2011,Greensboro Grasshoppers,SAL,A(Full),DH,9,9,0.0,0,0,0,0,0,,.000
2012,2 Teams,,Minors,CF,97,93,792.2,227,220,2,5,1,,.978
2012,2 Teams,,Minors,CF,97,93,792.2,227,220,2,5,1,,.978
2012,GCL Marlins,GCL,ROK,CF,1,1,9.0,2,1,0,1,0,,.500
2012,Jupiter Hammerheads,FSL,A(Adv),LF,7,7,47.0,9,7,1,1,0,,.889
2012,Jupiter Hammerheads,FSL,A(Adv),CF,96,92,783.2,225,219,2,4,1,,.982
2012,Jupiter Hammerheads,FSL,A(Adv),DH,6,6,0.0,0,0,0,0,0,,.000
2013,3 Teams,,Minors,CF,37,36,319.1,73,70,3,0,1,,1.000
2013,3 Teams,,Minors,DH,3,3,0.0,0,0,0,0,0,,.000
2013,3 Teams,,Minors,CF,37,36,319.1,73,70,3,0,1,,1.000
2013,3 Teams,,Minors,DH,3,3,0.0,0,0,0,0,0,,.000
2013,GCL Marlins,GCL,ROK,CF,4,4,32.0,7,6,1,0,1,,1.000
2013,GCL Marlins,GCL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
2013,Jupiter Hammerheads,FSL,A(Adv),CF,6,6,53.0,7,7,0,0,0,,1.000
2013,Jupiter Hammerheads,FSL,A(Adv),DH,1,1,0.0,0,0,0,0,0,,.000
2013,Jacksonville Suns,SOU,AA,LF,22,21,172.1,30,28,1,1,0,,.967
2013,Jacksonville Suns,SOU,AA,CF,27,26,234.1,59,57,2,0,0,,1.000
2013,Jacksonville Suns,SOU,AA,RF,1,1,9.0,2,2,0,0,0,,1.000
2013,Jacksonville Suns,SOU,AA,DH,1,1,0.0,0,0,0,0,0,,.000
2014,2 Teams,,Minors,LF,2,2,12.0,7,7,0,0,0,,1.000
2014,2 Teams,,Minors,CF,2,2,12.0,3,3,0,0,0,,1.000
2014,2 Teams,,Minors,LF,2,2,12.0,7,7,0,0,0,,1.000
2014,2 Teams,,Minors,CF,2,2,12.0,3,3,0,0,0,,1.000
2014,Jupiter Hammerheads,FSL,A(Adv),LF,1,1,5.0,2,2,0,0,0,,1.000
2014,Jupiter Hammerheads,FSL,A(Adv),CF,1,1,6.0,1,1,0,0,0,,1.000
2014,New Orleans Zephyrs,PCL,AAA,LF,1,1,7.0,5,5,0,0,0,,1.000
2014,New Orleans Zephyrs,PCL,AAA,CF,1,1,6.0,2,2,0,0,0,,1.000
2015,Jupiter Hammerheads,FSL,A(Adv),LF,3,3,21.0,6,6,0,0,0,,1.000
2021,Nashville Sounds,INT,AAA,LF,3,3,13.0,4,4,0,0,0,,1.000
,FCL Marlins,GCL,ROK,LF,6,6,53.0,10,9,1,0,1,,1.000
,FCL Marlins,GCL,ROK,CF,5,5,41.0,9,7,1,1,1,,.889
,FCL Marlins,GCL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
,2 Teams,,AAA,LF,4,4,20.0,9,9,0,0,0,,1.000
,New Orleans Baby Cakes,PCL,AAA,CF,1,1,6.0,2,2,0,0,0,,1.000
,Jacksonville Jumbo Shrimp,INT,AA,LF,22,21,172.1,30,28,1,1,0,,.967
,Jacksonville Jumbo Shrimp,INT,AA,CF,27,26,234.1,59,57,2,0,0,,1.000
,Jacksonville Jumbo Shrimp,INT,AA,RF,1,1,9.0,2,2,0,0,0,,1.000
,Jacksonville Jumbo Shrimp,INT,AA,DH,1,1,0.0,0,0,0,0,0,,.000
,Jupiter Hammerheads,FSL,A+,LF,11,11,73.0,17,15,1,1,0,,.941
,Jupiter Hammerheads,FSL,A+,CF,103,99,842.2,233,227,2,4,1,,.983
,Jupiter Hammerheads,FSL,A+,DH,7,7,0.0,0,0,0,0,0,,.000
,Greensboro Grasshoppers,SAL,A,LF,91,90,790.2,160,151,4,5,1,,.969
,Greensboro Grasshoppers,SAL,A,CF,28,27,227.0,66,65,0,1,0,,.985
,Greensboro Grasshoppers,SAL,A,DH,10,10,0.0,0,0,0,0,0,,.000
,4 Teams,,Minors,LF,130,128,1089.0,217,203,7,7,2,,.968
,5 Teams,,Minors,CF,164,158,1351.0,369,358,5,6,2,,.984
,1 Teams,,Minors,RF,1,1,9.0,2,2,0,0,0,,1.000
,4 Teams,,Minors,DH,19,19,0.0,0,0,0,0,0,,.000
,4 Teams,,Minors,LF,130,128,1089.0,217,203,7,7,2,,.968
,5 Teams,,Minors,CF,164,158,1351.0,369,358,5,6,2,,.984
,1 Teams,,Minors,RF,1,1,9.0,2,2,0,0,0,,1.000
Career Minors,4 Teams,,,DH,19,19,0.0,0,0,0,0,0,,.000
