Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"2,125",46.3,64.8,84.6,24.4,57.9,42.1,24.0,43.2,22.1,7.1,74.0
2016,"2,715",45.6,63.2,85.9,21.2,49.5,43.1,18.4,40.3,24.4,5.7,76.3
2017,"2,883",47.3,64.0,85.6,23.0,57.8,42.3,19.5,42.5,22.1,7.1,77.5
2018,"2,532",47.9,65.1,85.4,25.1,55.6,42.9,28.9,44.3,22.8,6.3,81.3
2019,"2,285",41.3,69.8,83.9,27.9,50.3,40.7,30.3,45.2,28.2,4.9,81.3
2020,"1,100",42.4,57.7,78.1,17.7,38.4,41.5,13.4,34.6,33.6,5.1,66.1
2021,"2,012",47.6,67.1,83.2,18.0,47.9,41.6,22.8,41.4,24.9,6.3,73.8
2022,"2,747",47.5,65.4,85.1,23.1,48.5,41.6,21.7,43.2,25.0,7.0,73.6
Player,"18,399",46.0,65.0,84.6,23.0,52.0,42.0,22.9,42.4,24.6,6.3,76.1
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
